method,profile,seed,trial,epoch,final_top1,final_top5,best_top1,paper_target,gap_pp,status,eligible,teacher_top1,teacher_sha256,seconds,peak_memory_bytes,config,checkpoint,identity,error
kd,author_code,0,1,240,72.86,92.92,73.31,73.33,-0.46999999999999886,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,8686.542955600133,416142848,E:\Contrastive Representation Distillation\runs\author_code_kd_seed0_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_kd_seed0_trial1\resume.pt,6cf4199033ef4a788990544a22e9df6995fa13f8058d89a5d352635bbe53c951,
kd,author_code,1,1,240,73.15,92.92,73.49,73.33,-0.1799999999999926,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,8868.75063709938,416142848,E:\Contrastive Representation Distillation\runs\author_code_kd_seed1_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_kd_seed1_trial1\resume.pt,6cf4199033ef4a788990544a22e9df6995fa13f8058d89a5d352635bbe53c951,
kd,author_code,2,1,240,73.31,92.96,73.54,73.33,-0.01999999999999602,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,8653.033814700204,416142848,E:\Contrastive Representation Distillation\runs\author_code_kd_seed2_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_kd_seed2_trial1\resume.pt,6cf4199033ef4a788990544a22e9df6995fa13f8058d89a5d352635bbe53c951,
kd,author_code,3,1,240,73.4,92.75,73.54,73.33,0.07000000000000739,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,8867.003316498827,416142848,E:\Contrastive Representation Distillation\runs\author_code_kd_seed3_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_kd_seed3_trial1\resume.pt,6cf4199033ef4a788990544a22e9df6995fa13f8058d89a5d352635bbe53c951,
kd,author_code,4,1,240,73.15,92.97,73.4,73.33,-0.1799999999999926,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,8664.90844970008,416142848,E:\Contrastive Representation Distillation\runs\author_code_kd_seed4_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_kd_seed4_trial1\resume.pt,6cf4199033ef4a788990544a22e9df6995fa13f8058d89a5d352635bbe53c951,
vanilla,author_code,0,1,240,72.22,92.69,72.69,72.5,-0.28000000000000114,complete,True,,,6800.547020999831,347317760,E:\Contrastive Representation Distillation\runs\author_code_vanilla_seed0_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_vanilla_seed0_trial1\resume.pt,948c55d6eeb6db5fdf937dc5cb429a514137ca0f5ad9326e8ccbe71adbfdcdec,
vanilla,author_code,1,1,240,72.68,92.7,72.94,72.5,0.18000000000000682,complete,True,,,6856.907729799335,347317760,E:\Contrastive Representation Distillation\runs\author_code_vanilla_seed1_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_vanilla_seed1_trial1\resume.pt,948c55d6eeb6db5fdf937dc5cb429a514137ca0f5ad9326e8ccbe71adbfdcdec,
vanilla,author_code,2,1,240,72.39,92.75,73.08,72.5,-0.10999999999999943,complete,True,,,6739.065088599222,347317760,E:\Contrastive Representation Distillation\runs\author_code_vanilla_seed2_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_vanilla_seed2_trial1\resume.pt,948c55d6eeb6db5fdf937dc5cb429a514137ca0f5ad9326e8ccbe71adbfdcdec,
vanilla,author_code,3,1,240,72.29,93.0,73.03,72.5,-0.20999999999999375,complete,True,,,6948.116402901476,347317760,E:\Contrastive Representation Distillation\runs\author_code_vanilla_seed3_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_vanilla_seed3_trial1\resume.pt,948c55d6eeb6db5fdf937dc5cb429a514137ca0f5ad9326e8ccbe71adbfdcdec,
vanilla,author_code,4,1,240,72.86,93.06,73.1,72.5,0.35999999999999943,complete,True,,,6737.148935099984,347317760,E:\Contrastive Representation Distillation\runs\author_code_vanilla_seed4_trial1\config.json,E:\Contrastive Representation Distillation\runs\author_code_vanilla_seed4_trial1\resume.pt,948c55d6eeb6db5fdf937dc5cb429a514137ca0f5ad9326e8ccbe71adbfdcdec,
crd_kd,paper_tau,0,1,240,75.43,93.61,75.53,75.46,-0.029999999999986926,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22688.98942050019,1446451200,E:\Contrastive Representation Distillation\runs\paper_tau_crd_kd_seed0_trial1\config.json,E:\Contrastive Representation Distillation\runs\paper_tau_crd_kd_seed0_trial1\resume.pt,96cdb10740147aa497fc77bde7991d5c76a9a8d32ed8a82c28277bcb42543f45,
crd_kd,paper_tau,1,1,240,74.98,93.53,75.45,75.46,-0.47999999999998977,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22656.123666700085,1446541312,E:\Contrastive Representation Distillation\runs\paper_tau_crd_kd_seed1_trial1\config.json,E:\Contrastive Representation Distillation\runs\paper_tau_crd_kd_seed1_trial1\resume.pt,96cdb10740147aa497fc77bde7991d5c76a9a8d32ed8a82c28277bcb42543f45,
crd_kd,paper_tau,2,1,240,74.85,93.7,75.24,75.46,-0.6099999999999994,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22874.283434099925,1446451200,E:\Contrastive Representation Distillation\runs\paper_tau_crd_kd_seed2_trial1\config.json,E:\Contrastive Representation Distillation\runs\paper_tau_crd_kd_seed2_trial1\resume.pt,96cdb10740147aa497fc77bde7991d5c76a9a8d32ed8a82c28277bcb42543f45,
crd_kd,paper_tau,3,1,240,75.09,93.81,75.27,75.46,-0.36999999999999034,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22771.09295649994,1446451200,E:\Contrastive Representation Distillation\runs\paper_tau_crd_kd_seed3_trial1\config.json,E:\Contrastive Representation Distillation\runs\paper_tau_crd_kd_seed3_trial1\resume.pt,96cdb10740147aa497fc77bde7991d5c76a9a8d32ed8a82c28277bcb42543f45,
crd_kd,paper_tau,4,1,240,75.22,93.71,75.39,75.46,-0.23999999999999488,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22823.253316599985,1446541312,E:\Contrastive Representation Distillation\runs\paper_tau_crd_kd_seed4_trial1\config.json,E:\Contrastive Representation Distillation\runs\paper_tau_crd_kd_seed4_trial1\resume.pt,96cdb10740147aa497fc77bde7991d5c76a9a8d32ed8a82c28277bcb42543f45,
crd,paper_tau,0,1,240,75.02,93.72,75.37,75.51,-0.4900000000000091,complete,True,79.42,22aa12e2b632b19ddde155ccf2388671842ddd304824b3095e0a7fff364beb4f,22494.73707070008,1446451200,E:\Contrastive Representation Distillation\runs\paper_tau_crd_seed0_trial1\config.json,E:\Contrastive Representation Distillation\runs\paper_tau_crd_seed0_trial1\resume.pt,9cde9ec704ad7cfdb551e3f9bbb15fbe1129d5ab2fa67ef8e9a70c13053ddd3a,
